awarding_agency_name,award_description,doc,ents,text,label,status
Interrior,ALEX PETERSON - SSC,ALEX PETERSON - SSC,"(0, 19, 'ALEX PETERSON - SSC', 'PERSON')",ALEX PETERSON - SSC,PERSON,
Interrior,"ENVIRONMENTAL ASSESSMENT - HAZARDOUS MATERIALS TESTING  SAM E. JOHNSON FARMHOUSE COMPLEX LYNDON B. JOHNSON NATIONAL HISTORICAL PARK STONEWALL, TEXAS  THE SCOPE OF THIS PROJECT IS TO PERFORM HAZARDOUS MATERIAL TESTING AND ASSESSMENTS OF THE INTER","ENVIRONMENTAL ASSESSMENT - HAZARDOUS MATERIALS TESTING  SAM E. JOHNSON FARMHOUSE COMPLEX LYNDON B. JOHNSON NATIONAL HISTORICAL PARK STONEWALL, TEXAS  THE SCOPE OF THIS PROJECT IS TO PERFORM HAZARDOUS MATERIAL TESTING AND ASSESSMENTS OF THE INTER","(89, 106, 'LYNDON B. JOHNSON', 'PERSON')",LYNDON B. JOHNSON,PERSON,
Interrior,DENA 237384B FY18 WAYFINDING SIGNS,DENA 237384B FY18 WAYFINDING SIGNS,"(18, 28, 'WAYFINDING', 'PERSON')",WAYFINDING,PERSON,
Interrior,W7835PG 35PPM COLOR&B/W COPIER,W7835PG 35PPM COLOR&B/W COPIER,"(0, 7, 'W7835PG', 'PERSON')",W7835PG,PERSON,
Interrior,WO200 BA SUPPORT,WO200 BA SUPPORT,"(0, 8, 'WO200 BA', 'PERSON')",WO200 BA,PERSON,
Interrior,"MUIR WOODS LIFT STATIONS REHABILITATION PROJECT  THE PURPOSE OF MODIFICATION P00006 IS TO PROVIDE THE CONTRACTOR COMPENSATION FOR TWO SEPARATE AND UNANTICIPATED DEMOBILIZATIONS AND REMOBILIZATIONS, IN ADDITION TO ADDITIONAL ELECTRICAL WORK ASSOCIAT","MUIR WOODS LIFT STATIONS REHABILITATION PROJECT  THE PURPOSE OF MODIFICATION P00006 IS TO PROVIDE THE CONTRACTOR COMPENSATION FOR TWO SEPARATE AND UNANTICIPATED DEMOBILIZATIONS AND REMOBILIZATIONS, IN ADDITION TO ADDITIONAL ELECTRICAL WORK ASSOCIAT","(0, 10, 'MUIR WOODS', 'PERSON')",MUIR WOODS,PERSON,
Interrior,"CA-LODI FWO-GUARD SERVICES MOD 4, EX OPTION PERIOD2","CA-LODI FWO-GUARD SERVICES MOD 4, EX OPTION PERIOD2","(44, 51, 'PERIOD2', 'PERSON')",PERIOD2,PERSON,
Interrior,"16-034-TROUT POND WATER CONTROL STRUCTURE&DIKE REHABILITATION, USFWS LACREEK NATIONAL  WILDLIFE REFUGE, BENNETT COUNTY, MARTIN, SD.- MOD P00002","16-034-TROUT POND WATER CONTROL STRUCTURE&DIKE REHABILITATION, USFWS LACREEK NATIONAL  WILDLIFE REFUGE, BENNETT COUNTY, MARTIN, SD.- MOD P00002","(120, 126, 'MARTIN', 'PERSON')",MARTIN,PERSON,
Interrior,"16-034-TROUT POND WATER CONTROL STRUCTURE&DIKE REHABILITATION, USFWS LACREEK NATIONAL  WILDLIFE REFUGE, BENNETT COUNTY, MARTIN, SD.- MOD P00002","16-034-TROUT POND WATER CONTROL STRUCTURE&DIKE REHABILITATION, USFWS LACREEK NATIONAL  WILDLIFE REFUGE, BENNETT COUNTY, MARTIN, SD.- MOD P00002","(128, 143, 'SD.- MOD P00002', 'PERSON')",SD.- MOD P00002,PERSON,
Interrior,"GOGA 204402B, COMPLETE SEISMIC UPGRADE AND STABILIZATION OF ALCATRAZ PRISON HOSPITAL WING AND GOGA 255961, INSTALL TEMPORARY SHORING IN HAZARD AREAS , BUILDING 64, ALCATRAZ ISLAND,  GOLDEN GATE NATIONAL RECREATION AREA, SAN FRANCISCO, CA","GOGA 204402B, COMPLETE SEISMIC UPGRADE AND STABILIZATION OF ALCATRAZ PRISON HOSPITAL WING AND GOGA 255961, INSTALL TEMPORARY SHORING IN HAZARD AREAS , BUILDING 64, ALCATRAZ ISLAND,  GOLDEN GATE NATIONAL RECREATION AREA, SAN FRANCISCO, CA","(0, 4, 'GOGA', 'PERSON')",GOGA,PERSON,
Interrior,"GOGA 204402B, COMPLETE SEISMIC UPGRADE AND STABILIZATION OF ALCATRAZ PRISON HOSPITAL WING AND GOGA 255961, INSTALL TEMPORARY SHORING IN HAZARD AREAS , BUILDING 64, ALCATRAZ ISLAND,  GOLDEN GATE NATIONAL RECREATION AREA, SAN FRANCISCO, CA","GOGA 204402B, COMPLETE SEISMIC UPGRADE AND STABILIZATION OF ALCATRAZ PRISON HOSPITAL WING AND GOGA 255961, INSTALL TEMPORARY SHORING IN HAZARD AREAS , BUILDING 64, ALCATRAZ ISLAND,  GOLDEN GATE NATIONAL RECREATION AREA, SAN FRANCISCO, CA","(94, 98, 'GOGA', 'PERSON')",GOGA,PERSON,
Interrior,"SAJU 244839, 244842, 244845 - MULTIPLE CONSTRUCTION REPAIRS TO INCLUDE DOORS, WINDOWS, STREETLIGHTS, AND ROOFS.","SAJU 244839, 244842, 244845 - MULTIPLE CONSTRUCTION REPAIRS TO INCLUDE DOORS, WINDOWS, STREETLIGHTS, AND ROOFS.","(0, 11, 'SAJU 244839', 'PERSON')",SAJU 244839,PERSON,
Interrior,"STABILIZE HISTORIC PLASTER, PAINT, WALLPAPER, GRAFFITI AND SLATING FINISHES AT THE LOCKWOOD HOUSE","STABILIZE HISTORIC PLASTER, PAINT, WALLPAPER, GRAFFITI AND SLATING FINISHES AT THE LOCKWOOD HOUSE","(35, 44, 'WALLPAPER', 'PERSON')",WALLPAPER,PERSON,
Interrior,"STABILIZE HISTORIC PLASTER, PAINT, WALLPAPER, GRAFFITI AND SLATING FINISHES AT THE LOCKWOOD HOUSE","STABILIZE HISTORIC PLASTER, PAINT, WALLPAPER, GRAFFITI AND SLATING FINISHES AT THE LOCKWOOD HOUSE","(83, 91, 'LOCKWOOD', 'PERSON')",LOCKWOOD,PERSON,
Interrior,VAFO EMERGENCY POWER POLE REPLACEMENT AND POWERLINE REHANGING,VAFO EMERGENCY POWER POLE REPLACEMENT AND POWERLINE REHANGING,"(52, 61, 'REHANGING', 'PERSON')",REHANGING,PERSON,
Interrior,TOHONO O'ODHAM UTILITES PURCHASE ORDER,TOHONO O'ODHAM UTILITES PURCHASE ORDER,"(0, 23, ""TOHONO O'ODHAM UTILITES"", 'PERSON')",TOHONO O'ODHAM UTILITES,PERSON,
Interrior,QUANTITATIVE ANALYSIS SOFTWARE/ANDERSEN,QUANTITATIVE ANALYSIS SOFTWARE/ANDERSEN,"(31, 39, 'ANDERSEN', 'PERSON')",ANDERSEN,PERSON,
Interrior,EMERGENCY PORTABLE TOILET RENTAL DUE TO COVID-19 PANDEMIC.MODIFICATION 1 - FUNDING ACTION ONLY - ADMINISTRATIVE MOD TO CHANGE THE FUND SOURCE.,EMERGENCY PORTABLE TOILET RENTAL DUE TO COVID-19 PANDEMIC.MODIFICATION 1 - FUNDING ACTION ONLY - ADMINISTRATIVE MOD TO CHANGE THE FUND SOURCE.,"(49, 70, 'PANDEMIC.MODIFICATION', 'PERSON')",PANDEMIC.MODIFICATION,PERSON,
Interrior,PREVENTATIVE MAINTENANCE FOR HVAC SYSTEMS AT FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE(FOMC) AND HAMPTON NATIONAL HISTORIC SITE(HAMP) IN ACCORDANCE WITH THE STATEMENT OF WORK (ATTACHMENT 1).,PREVENTATIVE MAINTENANCE FOR HVAC SYSTEMS AT FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE(FOMC) AND HAMPTON NATIONAL HISTORIC SITE(HAMP) IN ACCORDANCE WITH THE STATEMENT OF WORK (ATTACHMENT 1).,"(89, 100, 'SHRINE(FOMC', 'PERSON')",SHRINE(FOMC,PERSON,
Interrior,"TULE: PURCHASE AND DELIVERY OF QUARTER SAWN,10% MOISTURE CONTENT,KILN DRIED SUGAR PINE SIDING AT CAMP TULELAKE BARRACKS, TULELAKE CA.96134 REQUIRE 48-72 HOUR NOTIFICATION PRIOR TO DELIVERY. POC:  DON BOWEN 530-667-8134 WORK, 530-598-5195 CELL","TULE: PURCHASE AND DELIVERY OF QUARTER SAWN,10% MOISTURE CONTENT,KILN DRIED SUGAR PINE SIDING AT CAMP TULELAKE BARRACKS, TULELAKE CA.96134 REQUIRE 48-72 HOUR NOTIFICATION PRIOR TO DELIVERY. POC:  DON BOWEN 530-667-8134 WORK, 530-598-5195 CELL","(121, 138, 'TULELAKE CA.96134', 'PERSON')",TULELAKE CA.96134,PERSON,
Interrior,"X:NOGRN, BULK FUEL FOR ND AND CC:PURPOSE OF MODIFICATION P0004 IS TO DE-OBLIGATE REMAINING FUNDING ON CLIN 090, 0100, 0110, TO PERFORM CLOSEOUT.CHANGE CO FROM: LAURIE SHERROD TO: GERI LARSEN AS OF 7/17/2020","X:NOGRN, BULK FUEL FOR ND AND CC:PURPOSE OF MODIFICATION P0004 IS TO DE-OBLIGATE REMAINING FUNDING ON CLIN 090, 0100, 0110, TO PERFORM CLOSEOUT.CHANGE CO FROM: LAURIE SHERROD TO: GERI LARSEN AS OF 7/17/2020","(160, 174, 'LAURIE SHERROD', 'PERSON')",LAURIE SHERROD,PERSON,
Interrior,"X:NOGRN, BULK FUEL FOR ND AND CC:PURPOSE OF MODIFICATION P0004 IS TO DE-OBLIGATE REMAINING FUNDING ON CLIN 090, 0100, 0110, TO PERFORM CLOSEOUT.CHANGE CO FROM: LAURIE SHERROD TO: GERI LARSEN AS OF 7/17/2020","X:NOGRN, BULK FUEL FOR ND AND CC:PURPOSE OF MODIFICATION P0004 IS TO DE-OBLIGATE REMAINING FUNDING ON CLIN 090, 0100, 0110, TO PERFORM CLOSEOUT.CHANGE CO FROM: LAURIE SHERROD TO: GERI LARSEN AS OF 7/17/2020","(179, 190, 'GERI LARSEN', 'PERSON')",GERI LARSEN,PERSON,
Interrior,"THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE $0.02 FROM LINE ITEM 0040 AND CREATE LINE ITEMS 0080 AND 0090 TO ADD $50,061 FOR OPTION YEAR THREE. ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.","THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE $0.02 FROM LINE ITEM 0040 AND CREATE LINE ITEMS 0080 AND 0090 TO ADD $50,061 FOR OPTION YEAR THREE. ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.","(39, 49, 'DEOBLIGATE', 'PERSON')",DEOBLIGATE,PERSON,
Interrior,THIS MODIFICATION PROVIDES AN EQUITABLE ADJUSTMENT FOR ALL WORK COMPLETED UNDER UNILATERAL MODIFICATION NO. P00003.,THIS MODIFICATION PROVIDES AN EQUITABLE ADJUSTMENT FOR ALL WORK COMPLETED UNDER UNILATERAL MODIFICATION NO. P00003.,"(108, 114, 'P00003', 'PERSON')",P00003,PERSON,
Interrior,"ADMIN MOD, REVERSE FLOW GATES, JOHN W. KEYS III PUMP GENERATING PLANT, GRAND COULEE DAM, WASHINGTON","ADMIN MOD, REVERSE FLOW GATES, JOHN W. KEYS III PUMP GENERATING PLANT, GRAND COULEE DAM, WASHINGTON","(31, 69, 'JOHN W. KEYS III PUMP GENERATING PLANT', 'PERSON')",JOHN W. KEYS III PUMP GENERATING PLANT,PERSON,
Interrior,LANGUAGE COMSUMABLES FOR SSS K-8TH,LANGUAGE COMSUMABLES FOR SSS K-8TH,"(9, 20, 'COMSUMABLES', 'PERSON')",COMSUMABLES,PERSON,
Interrior,"MOD 2 EXTEND PERIOD OF PERFORMANCE - WATER QUALITY MONITORING SYSTEM EQUIPMENT/TRAINING, US FISH AND WILDLIFE SERVICE, WILLIAMS CREEK NFH, ARIZONA","MOD 2 EXTEND PERIOD OF PERFORMANCE - WATER QUALITY MONITORING SYSTEM EQUIPMENT/TRAINING, US FISH AND WILDLIFE SERVICE, WILLIAMS CREEK NFH, ARIZONA","(119, 137, 'WILLIAMS CREEK NFH', 'PERSON')",WILLIAMS CREEK NFH,PERSON,
Interrior,HQ NEW STUDENT GINA FIORILE,HQ NEW STUDENT GINA FIORILE,"(15, 27, 'GINA FIORILE', 'PERSON')",GINA FIORILE,PERSON,
Interrior,WASHINGTON COUNTY LEO PATROLS,WASHINGTON COUNTY LEO PATROLS,"(18, 29, 'LEO PATROLS', 'PERSON')",LEO PATROLS,PERSON,
Interrior,"FRONT BUMPER W/WINCH PURCHASE - BETTERMENT FOR 2020 FORD F550, I622995","FRONT BUMPER W/WINCH PURCHASE - BETTERMENT FOR 2020 FORD F550, I622995","(63, 70, 'I622995', 'PERSON')",I622995,PERSON,
Interrior,"INTERPRETIVE MEDIA PLANNING SERVICES, HORACE ALBRIGHT TRAINING CENTER (HOAL)","INTERPRETIVE MEDIA PLANNING SERVICES, HORACE ALBRIGHT TRAINING CENTER (HOAL)","(38, 53, 'HORACE ALBRIGHT', 'PERSON')",HORACE ALBRIGHT,PERSON,
Interrior,"DUMP TRUCKS RENTAL, CRLA","DUMP TRUCKS RENTAL, CRLA","(20, 24, 'CRLA', 'PERSON')",CRLA,PERSON,
Interrior,"MOD TO EXTEND THE CURRENT 328 LINEAR FEET OF FENCING AT LINCOLN PARK,  PROTECT TWO (2) STATUES (EMANCIPATION MEMORIAL AND BETHUNE STATUE) IN WASHINGTON D.C. DUE TO ONGOING BLACK LIVES MATTER PROTESTS.","MOD TO EXTEND THE CURRENT 328 LINEAR FEET OF FENCING AT LINCOLN PARK,  PROTECT TWO (2) STATUES (EMANCIPATION MEMORIAL AND BETHUNE STATUE) IN WASHINGTON D.C. DUE TO ONGOING BLACK LIVES MATTER PROTESTS.","(122, 136, 'BETHUNE STATUE', 'PERSON')",BETHUNE STATUE,PERSON,
Interrior,"IGF::OT::IGF WASO-CRAD HPF ONLINE DATABASE. THIS IS A LABOR HOUR TYPE CONTRACT. X:NOGRN  THE NOT-TO-EXCEED SUM OF $149,335.50 IS OBLIGATED AS THE MAXIMUM TOTAL TASK ORDER AMOUNT FOR THE FURNISHING OF ALL SUPPLIES AND SERVICES REQUIRED TO ACCOMPLIS","IGF::OT::IGF WASO-CRAD HPF ONLINE DATABASE. THIS IS A LABOR HOUR TYPE CONTRACT. X:NOGRN  THE NOT-TO-EXCEED SUM OF $149,335.50 IS OBLIGATED AS THE MAXIMUM TOTAL TASK ORDER AMOUNT FOR THE FURNISHING OF ALL SUPPLIES AND SERVICES REQUIRED TO ACCOMPLIS","(238, 247, 'ACCOMPLIS', 'PERSON')",ACCOMPLIS,PERSON,
Interrior,EMC TAPE LIBRARY BIE HW-02 FOR OIMT,EMC TAPE LIBRARY BIE HW-02 FOR OIMT,"(17, 26, 'BIE HW-02', 'PERSON')",BIE HW-02,PERSON,
Interrior,AGA CEAR,AGA CEAR,"(0, 8, 'AGA CEAR', 'PERSON')",AGA CEAR,PERSON,
Interrior,"DETROIT RIVER T&M FOR MAY#2-COMPLETION OF MISC. ITEMS, MATT RENTAL, OTHER T&M ITEMS","DETROIT RIVER T&M FOR MAY#2-COMPLETION OF MISC. ITEMS, MATT RENTAL, OTHER T&M ITEMS","(55, 59, 'MATT', 'PERSON')",MATT,PERSON,
Interrior,MS-N. MS REFUGES-NRMC LE AMMO BUY,MS-N. MS REFUGES-NRMC LE AMMO BUY,"(0, 8, 'MS-N. MS', 'PERSON')",MS-N. MS,PERSON,
Interrior,CRWFCO WA:TEMP MARKERS WARM SPRINGS,CRWFCO WA:TEMP MARKERS WARM SPRINGS,"(0, 9, 'CRWFCO WA', 'PERSON')",CRWFCO WA,PERSON,
Interrior,"EVAN BUCK STUDENT SERVICES CONTRACT $19.56 X 2149 HOURS = $42,034.44 146 HOURS @ $19.56 = $2,885.76","EVAN BUCK STUDENT SERVICES CONTRACT $19.56 X 2149 HOURS = $42,034.44 146 HOURS @ $19.56 = $2,885.76","(0, 9, 'EVAN BUCK', 'PERSON')",EVAN BUCK,PERSON,
Interrior,"JOHN STECHLY $21.67 X  1928 HOURS = $41,779.76 RATE INCREASED TO $33.02 AS IT IS A RESEARCH POSITION, THE NEXT LEVEL FROM GS 7-1 PROMOTION IS GS 11 1  (PER JENNY), NO GS 9, IT SEEMS ADD 1928 HOURS @ $33.02 = $63,662.56. ADD 151 HOURS @ $33.02 (JU","JOHN STECHLY $21.67 X  1928 HOURS = $41,779.76 RATE INCREASED TO $33.02 AS IT IS A RESEARCH POSITION, THE NEXT LEVEL FROM GS 7-1 PROMOTION IS GS 11 1  (PER JENNY), NO GS 9, IT SEEMS ADD 1928 HOURS @ $33.02 = $63,662.56. ADD 151 HOURS @ $33.02 (JU","(0, 12, 'JOHN STECHLY', 'PERSON')",JOHN STECHLY,PERSON,
Interrior,"JOHN STECHLY $21.67 X  1928 HOURS = $41,779.76 RATE INCREASED TO $33.02 AS IT IS A RESEARCH POSITION, THE NEXT LEVEL FROM GS 7-1 PROMOTION IS GS 11 1  (PER JENNY), NO GS 9, IT SEEMS ADD 1928 HOURS @ $33.02 = $63,662.56. ADD 151 HOURS @ $33.02 (JU","JOHN STECHLY $21.67 X  1928 HOURS = $41,779.76 RATE INCREASED TO $33.02 AS IT IS A RESEARCH POSITION, THE NEXT LEVEL FROM GS 7-1 PROMOTION IS GS 11 1  (PER JENNY), NO GS 9, IT SEEMS ADD 1928 HOURS @ $33.02 = $63,662.56. ADD 151 HOURS @ $33.02 (JU","(156, 161, 'JENNY', 'PERSON')",JENNY,PERSON,
Interrior,"TERI LEWIS 1125 HOURS @ $16.09 = $18,101.25  MOD 1 TO INCREASE RATE FROM $16.09 TO $18.01  AND ADD 881 HOURS AT $18.01 = 15,866.81","TERI LEWIS 1125 HOURS @ $16.09 = $18,101.25  MOD 1 TO INCREASE RATE FROM $16.09 TO $18.01  AND ADD 881 HOURS AT $18.01 = 15,866.81","(0, 10, 'TERI LEWIS', 'PERSON')",TERI LEWIS,PERSON,
Interrior,"LA CFWRU - CUSTOM BOAT, MOTOR, AND TRAILER","LA CFWRU - CUSTOM BOAT, MOTOR, AND TRAILER","(0, 22, 'LA CFWRU - CUSTOM BOAT', 'PERSON')",LA CFWRU - CUSTOM BOAT,PERSON,
Interrior,STUDENT SERVICES- DESIREE BAYOUTH EXTEND PERIOD OF PERFORMANCE,STUDENT SERVICES- DESIREE BAYOUTH EXTEND PERIOD OF PERFORMANCE,"(18, 33, 'DESIREE BAYOUTH', 'PERSON')",DESIREE BAYOUTH,PERSON,
Interrior,STUDENT SERVICE CONTRACT - MERIDITH EMBRY -  DEOBLIGATION,STUDENT SERVICE CONTRACT - MERIDITH EMBRY -  DEOBLIGATION,"(27, 45, 'MERIDITH EMBRY -  ', 'PERSON')",MERIDITH EMBRY -  ,PERSON,
Interrior,DANIEL LAMM - SSC,DANIEL LAMM - SSC,"(0, 17, 'DANIEL LAMM - SSC', 'PERSON')",DANIEL LAMM - SSC,PERSON,
Interrior,STUDENT SERVICE CONTRACT - JENNIFER MEINEKE,STUDENT SERVICE CONTRACT - JENNIFER MEINEKE,"(27, 43, 'JENNIFER MEINEKE', 'PERSON')",JENNIFER MEINEKE,PERSON,
Interrior,QUANTITATIVE ANALYSIS SOFTWARE/ANDERSEN,QUANTITATIVE ANALYSIS SOFTWARE/ANDERSEN,"(31, 39, 'ANDERSEN', 'PERSON')",ANDERSEN,PERSON,
Interrior,"CARNAHAN ROAD CATTLEGUARDS, DELIVERED TO MALTA, MT","CARNAHAN ROAD CATTLEGUARDS, DELIVERED TO MALTA, MT","(0, 8, 'CARNAHAN', 'PERSON')",CARNAHAN,PERSON,
Interrior,ROCK CREEK PARK HOMELESS CAMP REMOVAL AT FRANCIS SCOTT KEY PARK IN GEORGETOWN THE AWARD WAS MADE TO THE FRANCHISER AND NOT FRANCHISEE.  THIS MODIFICATION CANCELS THE CONTRACT IN ITS ENTIRETY.  THE NEW CONTRACT IS AWARDED UNDER 140P3020P0012 TO THE C,ROCK CREEK PARK HOMELESS CAMP REMOVAL AT FRANCIS SCOTT KEY PARK IN GEORGETOWN THE AWARD WAS MADE TO THE FRANCHISER AND NOT FRANCHISEE.  THIS MODIFICATION CANCELS THE CONTRACT IN ITS ENTIRETY.  THE NEW CONTRACT IS AWARDED UNDER 140P3020P0012 TO THE C,"(41, 63, 'FRANCIS SCOTT KEY PARK', 'PERSON')",FRANCIS SCOTT KEY PARK,PERSON,
Interrior,USPP FY20-ELECTRICAL SOLAR INSTALL KIT,USPP FY20-ELECTRICAL SOLAR INSTALL KIT,"(0, 20, 'USPP FY20-ELECTRICAL', 'PERSON')",USPP FY20-ELECTRICAL,PERSON,
Interrior,"NYFO FY18 HMP GROOM SERVICES, USPP","NYFO FY18 HMP GROOM SERVICES, USPP","(0, 19, 'NYFO FY18 HMP GROOM', 'PERSON')",NYFO FY18 HMP GROOM,PERSON,
Interrior,MODIFICATION TO FINALIZE CHANGE ORDER AND DEOBLIGATE FUNDS FOR EMERGENCY SEWER REPAIR AT KNIFE RIVER INDIAN VILLAGES.,MODIFICATION TO FINALIZE CHANGE ORDER AND DEOBLIGATE FUNDS FOR EMERGENCY SEWER REPAIR AT KNIFE RIVER INDIAN VILLAGES.,"(42, 52, 'DEOBLIGATE', 'PERSON')",DEOBLIGATE,PERSON,
Interrior,AWARD OF YFO CHANDLER GARBAGE REMOVAL FY 21-25,AWARD OF YFO CHANDLER GARBAGE REMOVAL FY 21-25,"(9, 21, 'YFO CHANDLER', 'PERSON')",YFO CHANDLER,PERSON,
Interrior,CLOSE OUT THE PURCHASE ORDER PER RAC17.05 IN ACCORDANCE WITH FAR 52.212-4 (C) CHANGES.,CLOSE OUT THE PURCHASE ORDER PER RAC17.05 IN ACCORDANCE WITH FAR 52.212-4 (C) CHANGES.,"(33, 41, 'RAC17.05', 'PERSON')",RAC17.05,PERSON,
Interrior,WOOD CHIPPER GVWA 2020,WOOD CHIPPER GVWA 2020,"(13, 17, 'GVWA', 'PERSON')",GVWA,PERSON,
Interrior,BLUEZONE EMULATOR MAINTENANCE,BLUEZONE EMULATOR MAINTENANCE,"(0, 17, 'BLUEZONE EMULATOR', 'PERSON')",BLUEZONE EMULATOR,PERSON,
Interrior,"APPRAISAL SERVICES - EDWIN B FORSYTHE NWR, F200048&F200049","APPRAISAL SERVICES - EDWIN B FORSYTHE NWR, F200048&F200049","(43, 58, 'F200048&F200049', 'PERSON')",F200048&F200049,PERSON,
Interrior,"AMLL-71 - PRESTONSBURG, KY- MTNG RM, SLEEPING RM, AV","AMLL-71 - PRESTONSBURG, KY- MTNG RM, SLEEPING RM, AV","(24, 35, 'KY- MTNG RM', 'PERSON')",KY- MTNG RM,PERSON,
