awarding_agency_name,award_description,doc,ents,text,label,status
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,"(141, 154, 'YVETTE BRYANT', 'PERSON')",YVETTE BRYANT,PERSON,1
Education,THE PURPOSE OF MODIFICATION IS TO UPDATE THE DELIVERABLES' DUE DATES.,THE PURPOSE OF MODIFICATION IS TO UPDATE THE DELIVERABLES' DUE DATES.,"(45, 57, 'DELIVERABLES', 'PERSON')",DELIVERABLES,PERSON,
Education,"THE U.S. DEPARTMENT OF EDUCATION REQUIRES ONGOING SUPPORT FOR DOCUMENT, COMMUNICATIONS MATERIALS, AND GRAPHIC DESIGN.   THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM PENNIE SUMMERS TO WILLIAM JACKSON.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","THE U.S. DEPARTMENT OF EDUCATION REQUIRES ONGOING SUPPORT FOR DOCUMENT, COMMUNICATIONS MATERIALS, AND GRAPHIC DESIGN.   THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM PENNIE SUMMERS TO WILLIAM JACKSON.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","(223, 238, 'WILLIAM JACKSON', 'PERSON')",WILLIAM JACKSON,PERSON,1
Education,"THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR TWO (CY2).  THE PURPOSE OF THIS MODIFICATION IS DO THE FOLLOWING: DEOBLIGATE UNEXPENDED FUNDS IN THE AMOUNT OF 132,256.11 FROM CONTRACT ED-FSA-15-D-0001, TASK ORDER 0001 IN PREPARATION FOR CLOSEOUT. THE TOTAL AMOUNT OF THE ORDER IS DECREASED BY $132,256.11 FROM $33,118,543.58 TO $32,986,287.47.","THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR TWO (CY2).  THE PURPOSE OF THIS MODIFICATION IS DO THE FOLLOWING: DEOBLIGATE UNEXPENDED FUNDS IN THE AMOUNT OF 132,256.11 FROM CONTRACT ED-FSA-15-D-0001, TASK ORDER 0001 IN PREPARATION FOR CLOSEOUT. THE TOTAL AMOUNT OF THE ORDER IS DECREASED BY $132,256.11 FROM $33,118,543.58 TO $32,986,287.47.","(224, 234, 'DEOBLIGATE', 'PERSON')",DEOBLIGATE,PERSON,
Education,"THIS ORDER WILL REQUIRE THE CONTRACTOR TO ESTABLISH, CONVENE, COORDINATE, AND SUPPORT AN INDEPENDENT ADVISORY PANEL CONSISTENT WITH THE REQUIREMENTS OF SECTION 114 OF THE CARL D. PERKINS CAREER AND TECHNICAL EDUCATION ACT OF 2006.","THIS ORDER WILL REQUIRE THE CONTRACTOR TO ESTABLISH, CONVENE, COORDINATE, AND SUPPORT AN INDEPENDENT ADVISORY PANEL CONSISTENT WITH THE REQUIREMENTS OF SECTION 114 OF THE CARL D. PERKINS CAREER AND TECHNICAL EDUCATION ACT OF 2006.","(171, 175, 'CARL', 'PERSON')",CARL,PERSON,1
Education,"THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR THREE (CY3).  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE UNLIQUIDATED FUNDS FROM LINE ITEMS,  LI 3078, CR 4815 INTEGRATED APPROACH FOR SINGLE SIGN-ON FOR FSA ID (PAS), LI 3086, PRINTING, LI 3087,POSTAGE AND LI 3087 - EMAIL.","THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR THREE (CY3).  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE UNLIQUIDATED FUNDS FROM LINE ITEMS,  LI 3078, CR 4815 INTEGRATED APPROACH FOR SINGLE SIGN-ON FOR FSA ID (PAS), LI 3086, PRINTING, LI 3087,POSTAGE AND LI 3087 - EMAIL.","(211, 221, 'DEOBLIGATE', 'PERSON')",DEOBLIGATE,PERSON,
Education,"THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR THREE (CY3).  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE UNLIQUIDATED FUNDS FROM LINE ITEMS,  LI 3078, CR 4815 INTEGRATED APPROACH FOR SINGLE SIGN-ON FOR FSA ID (PAS), LI 3086, PRINTING, LI 3087,POSTAGE AND LI 3087 - EMAIL.","THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR THREE (CY3).  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE UNLIQUIDATED FUNDS FROM LINE ITEMS,  LI 3078, CR 4815 INTEGRATED APPROACH FOR SINGLE SIGN-ON FOR FSA ID (PAS), LI 3086, PRINTING, LI 3087,POSTAGE AND LI 3087 - EMAIL.","(333, 340, 'LI 3086', 'PERSON')",LI 3086,PERSON,
Education,TUITION COSTS FOR STEVEN BYRD'S PARTICIPATION IN THE EXCELLENCE IN GOVERNMENT PROGRAM.,TUITION COSTS FOR STEVEN BYRD'S PARTICIPATION IN THE EXCELLENCE IN GOVERNMENT PROGRAM.,"(18, 31, ""STEVEN BYRD'S"", 'PERSON')",STEVEN BYRD'S,PERSON,1
Education,CHANGING CONTRACTING OFFICER FROM KEONNA SMITH-GORDON TO WILLIAM JACKSON AND UPDATING THE AUTHORITY ON MOD #9 TO 52.217-9  OPTION TO EXTEND THE TERM OF THE CONTRACT.,CHANGING CONTRACTING OFFICER FROM KEONNA SMITH-GORDON TO WILLIAM JACKSON AND UPDATING THE AUTHORITY ON MOD #9 TO 52.217-9  OPTION TO EXTEND THE TERM OF THE CONTRACT.,"(34, 56, 'KEONNA SMITH-GORDON TO', 'PERSON')",KEONNA SMITH-GORDON TO,PERSON,
Education,CHANGING CONTRACTING OFFICER FROM KEONNA SMITH-GORDON TO WILLIAM JACKSON AND UPDATING THE AUTHORITY ON MOD #9 TO 52.217-9  OPTION TO EXTEND THE TERM OF THE CONTRACT.,CHANGING CONTRACTING OFFICER FROM KEONNA SMITH-GORDON TO WILLIAM JACKSON AND UPDATING THE AUTHORITY ON MOD #9 TO 52.217-9  OPTION TO EXTEND THE TERM OF THE CONTRACT.,"(57, 72, 'WILLIAM JACKSON', 'PERSON')",WILLIAM JACKSON,PERSON,1
Education,"THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE CHANGE REQUEST 5088 (NEXT GEN DIGITAL CUSTOMER CARE SOLUTION) AND PROVIDE FUNDING IN THE AMOUNT OF $35,182.50 INTO CONTRACT NUMBER ED-FSA-09-D-0014, TASK ORDER 91003120F0313 MOD P00028.","THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE CHANGE REQUEST 5088 (NEXT GEN DIGITAL CUSTOMER CARE SOLUTION) AND PROVIDE FUNDING IN THE AMOUNT OF $35,182.50 INTO CONTRACT NUMBER ED-FSA-09-D-0014, TASK ORDER 91003120F0313 MOD P00028.","(229, 235, 'P00028', 'PERSON')",P00028,PERSON,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,"(75, 87, 'JOYCE BETTIS', 'PERSON')",JOYCE BETTIS,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,"(91, 106, 'MYRIA CARPENTER', 'PERSON')",MYRIA CARPENTER,PERSON,1
Education,"TO REMOVE AND REPLACE KEY PERSONNEL TABLE LOCATED UNDER THE TERMS AND CONDITIONS SECTION, EDAR CLAUSE 3452.243-70 KEY PERSONNEL (B) WITH THE FOLLOWING  EXECUTIVE (E.G., PARTNER OR DIRECTOR) OR INDUSTRY-WIDE RECOGNIZED (SME) BILL LEWIS","TO REMOVE AND REPLACE KEY PERSONNEL TABLE LOCATED UNDER THE TERMS AND CONDITIONS SECTION, EDAR CLAUSE 3452.243-70 KEY PERSONNEL (B) WITH THE FOLLOWING  EXECUTIVE (E.G., PARTNER OR DIRECTOR) OR INDUSTRY-WIDE RECOGNIZED (SME) BILL LEWIS","(229, 234, 'LEWIS', 'PERSON')",LEWIS,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,"(75, 87, 'JOYCE BETTIS', 'PERSON')",JOYCE BETTIS,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,"(91, 106, 'MYRIA CARPENTER', 'PERSON')",MYRIA CARPENTER,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,"(75, 87, 'JOYCE BETTIS', 'PERSON')",JOYCE BETTIS,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM JOYCE BETTIS TO MYRIA CARPENTER.,"(91, 106, 'MYRIA CARPENTER', 'PERSON')",MYRIA CARPENTER,PERSON,1
Education,"THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FY18 FUNDS, AND SUBSEQUENTLY CLOSEOUT THIS CONTRACT.","THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FY18 FUNDS, AND SUBSEQUENTLY CLOSEOUT THIS CONTRACT.","(39, 54, 'DEOBLIGATE FY18', 'PERSON')",DEOBLIGATE FY18,PERSON,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM ANDREW JERNELL TO MARLON HOLLAND.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM ANDREW JERNELL TO MARLON HOLLAND.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED,"(75, 92, 'ANDREW JERNELL TO', 'PERSON')",ANDREW JERNELL TO,PERSON,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM ANDREW JERNELL TO MARLON HOLLAND.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER FROM ANDREW JERNELL TO MARLON HOLLAND.  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED,"(93, 107, 'MARLON HOLLAND', 'PERSON')",MARLON HOLLAND,PERSON,1
Education,THE PURPOSE OF THIS TO UPDATE THE DELIVERABLES UNDER SECTION 13 - DELIVERABLES.,THE PURPOSE OF THIS TO UPDATE THE DELIVERABLES UNDER SECTION 13 - DELIVERABLES.,"(34, 46, 'DELIVERABLES', 'PERSON')",DELIVERABLES,PERSON,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE WAGE DETERMINATIONS FOR DCMDVA, JEFFERSON, KS, DOUGLAS, KS, AND JOHNSON, IA.","THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE WAGE DETERMINATIONS FOR DCMDVA, JEFFERSON, KS, DOUGLAS, KS, AND JOHNSON, IA.","(115, 122, 'JOHNSON', 'PERSON')",JOHNSON,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM MARLON HOLLAND TO TIMIKO WILKINS.,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM MARLON HOLLAND TO TIMIKO WILKINS.,"(85, 102, 'MARLON HOLLAND TO', 'PERSON')",MARLON HOLLAND TO,PERSON,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO LIFT THE STOP WORK ORDER ISSUED ON SEPTEMBER 25, 2019, CHANGE THE CONTRACTING OFFICER TO MR. WAYNE BRIM, REVISE THE PERIOD OF PERFORMANCE AS A RESULT OF THE PROTEST PERIOD, AND INCORPORATE FSA CLAUSE 39-8.","THE PURPOSE OF THIS MODIFICATION IS TO LIFT THE STOP WORK ORDER ISSUED ON SEPTEMBER 25, 2019, CHANGE THE CONTRACTING OFFICER TO MR. WAYNE BRIM, REVISE THE PERIOD OF PERFORMANCE AS A RESULT OF THE PROTEST PERIOD, AND INCORPORATE FSA CLAUSE 39-8.","(132, 142, 'WAYNE BRIM', 'PERSON')",WAYNE BRIM,PERSON,1
Education,CHANGE THE CONTRACTING OFFICER TO MARLON HOLLAND,CHANGE THE CONTRACTING OFFICER TO MARLON HOLLAND,"(34, 48, 'MARLON HOLLAND', 'PERSON')",MARLON HOLLAND,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO DESIGNATE HEATHER FONZI AS THE CONTRACTING OFFICER'S REPRESENTATIVE (COR)  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,THE PURPOSE OF THIS MODIFICATION IS TO DESIGNATE HEATHER FONZI AS THE CONTRACTING OFFICER'S REPRESENTATIVE (COR)  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,"(49, 62, 'HEATHER FONZI', 'PERSON')",HEATHER FONZI,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO DESIGNATE ANDRE BARBOSA AS THE CONTRACTING OFFICER'S REPRESENTATIVE (COR)  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,THE PURPOSE OF THIS MODIFICATION IS TO DESIGNATE ANDRE BARBOSA AS THE CONTRACTING OFFICER'S REPRESENTATIVE (COR)  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,"(49, 65, 'ANDRE BARBOSA AS', 'PERSON')",ANDRE BARBOSA AS,PERSON,
Education,TUITION PAYMENT FOR STEPHANIE MCKISSIC TO PARTICIPATE IN THE EXCELLENCE IN GOVERNMENT FELLOWS PROGRAM,TUITION PAYMENT FOR STEPHANIE MCKISSIC TO PARTICIPATE IN THE EXCELLENCE IN GOVERNMENT FELLOWS PROGRAM,"(20, 41, 'STEPHANIE MCKISSIC TO', 'PERSON')",STEPHANIE MCKISSIC TO,PERSON,
Education,CHANGE THE COR FROM JOHN FLANNERY TO ANDRE BARBOSA,CHANGE THE COR FROM JOHN FLANNERY TO ANDRE BARBOSA,"(20, 33, 'JOHN FLANNERY', 'PERSON')",JOHN FLANNERY,PERSON,1
Education,CHANGE THE COR FROM JOHN FLANNERY TO ANDRE BARBOSA,CHANGE THE COR FROM JOHN FLANNERY TO ANDRE BARBOSA,"(37, 50, 'ANDRE BARBOSA', 'PERSON')",ANDRE BARBOSA,PERSON,1
Education,"THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE FUNDING IN THE AMOUNT OF $296,050.00 IN ACCORDANCE WITH THE PREVIOUSLY SENT MOD P00013 FOR CR-5505 HR 748-ADMINISTRATIVE FORBEARANCE.","THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE FUNDING IN THE AMOUNT OF $296,050.00 IN ACCORDANCE WITH THE PREVIOUSLY SENT MOD P00013 FOR CR-5505 HR 748-ADMINISTRATIVE FORBEARANCE.","(127, 133, 'P00013', 'PERSON')",P00013,PERSON,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER REPRESENTATIVE (COR), FROM JOHN FLANNERY TO HEATHER FONZI. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER REPRESENTATIVE (COR), FROM JOHN FLANNERY TO HEATHER FONZI. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","(97, 110, 'JOHN FLANNERY', 'PERSON')",JOHN FLANNERY,PERSON,1
Education,"THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER REPRESENTATIVE (COR), FROM JOHN FLANNERY TO HEATHER FONZI. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER REPRESENTATIVE (COR), FROM JOHN FLANNERY TO HEATHER FONZI. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.","(114, 127, 'HEATHER FONZI', 'PERSON')",HEATHER FONZI,PERSON,1
Education,THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FY17 FUNDS AND SUBSEQUENTLY CLOSEOUT THIS CONTRACT/TASK ORDER.,THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE FY17 FUNDS AND SUBSEQUENTLY CLOSEOUT THIS CONTRACT/TASK ORDER.,"(39, 54, 'DEOBLIGATE FY17', 'PERSON')",DEOBLIGATE FY17,PERSON,
