Agency,AwardDescription,Length,,,,
Education,"DEBT MANAGEMENT AND COLLECTIONS SYSTEM-DMCS.THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE ADDITIONAL FUNDS OF $410,688.75 FOR  547,585 CARES ACT LETTERS.",154,,,,
Education,DEBT MANAGEMENT AND COLLECTIONS SYSTEM DMCS. THE PURPOSE OF THIS MODIFICATION IS TO APPROVE AND OBLIGATE FUNDS FOR CHANGE REQUEST 5530 IN SUPPORT OF THE CARES ACT.,163,,,,
Education,DEBT MANAGEMENT AND COLLECTIONS SYSTEM - DMCS. THE PURPOSE OF THIS MODIFICATION IS TO APPROVE AND OBILGATE FUNDS FOR SMALL BUSINESS SUBCONTRACTOR SUPPORT FOR BORROWERS INQUIRIES ABOUT COVID-19 RELIEF MEASURES.,209,,,,
Education,"DEBT MANAGEMENT AND COLLECTIONS SYSTEM (DMCS). THE PURPOSE OF THIS MODIFICATION IS TO APPROVE CHANGE REQUESTS  5359, REPORT LATEST DATE OF DELINQUENCY FOR TOP CERTIFICATIONS, AND OBLIGATE FUNDS FOR THIS CR.",206,,,,
Education,"DEBT MANAGEMENT AND COLLECTIONS SYSTEM - DMCS. THE PURPOSE OF THIS MODIFICATION IS TO APPROVE, DEFINITIZE NEGOTIATIONS, AND OBLIGATE FUNDS FOR CHANGE REQUESTS 5478, NATIONAL EMERGENCY 2020 - STOP DEFAULT COLLECTION ACTIVITY.",224,,,,
Education,"DEBT MANAGEMENT AND COLLECTIONS SYSTEM (DMCS). THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDS TO CR 4753 AND CR 4619 PLUS APPROVE CHANGE REQUEST CR 5472, NOTIFICATION OF LAWSUIT IMPACTING ED HELD ASSETS NOT RELATED TO BANKRUPTCY, AT NO ADDITIONAL COST TO GOVERNMENT.",268,,,,
Education,THE PURPOSE OF THIS MEMORANDUM IS TO DOCUMENT MODIFICATION P00001.  THE MODIFICATION CHANGED THE CONTRACT AS FOLLOWS:  1. EXTENSION OF THE PERIOD OF PERFORMANCE FROM 6/30/2020 TO 8/31/2020.   2.ALL OT HER TERMS AND CONDITIONS REMAIN UNCHANGED.,243,,,,
Education,THE PURPOSE OF THIS MEMORANDUM IS TO DOCUMENT MODIFICATION P00003.  THE MODIFICATION CHANGED THE CONTRACT AS FOLLOWS:  1. EXTENSION OF THE PERIOD OF PERFORMANCE FROM 4/24/2020 TO 8/24/2020.   2. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,243,,,,
Education,RESOURCE SUPPORT TO OVERSEE THE EDITING OF SPECIFIC SECTIONS WITHIN THE STRATEGIC PLAN AS WELL AS THE DESIGN OF THE STRATEGIC PLAN.  THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE REVISED SOW AND EXTEND THE PERIOD OF PERFORMANCE.,233,,,,
Education,FSA IS WORKING TO STANDARDIZE WEB ANALYTICS TRACKING AND USE ACROSS THE ENTERPISE.,82,,,,
Education,"FSA HAS ESTABLISHED A CUSTOMER-TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION IS TO CLOSEOUT THIS CONTRACT.",290,,,,
Education,"FSA HAS ESTABLISHED A CUSTOMER-TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE -$383.51 FY19 FUNDING AND CLOSEOUT THIS CONTRACT.",327,,,,
Education,"FEDERAL STUDENT AID (FSA) HAS ESTABLISHED A CUSTOMER TESTED ENTERPRISE BRANDING AND CUSTOMER COMMUNICATIONS STRATEGY TO CREATE GREATER AWARENESS, IMPACT, CONSISTENCY, AND RESULTS IN FSA COMMUNICATIONS AND OUTREACH ACROSS ALL CHANNELS AND AUDIENCES.  THE PURPOSE OF THIS MODIFICATION P00004 IS TO CHANGE THE CONTRACTING OFFICER FROM PENNIE SUMMERS TO MARK BENSON AND THE CONTRACT SPECIALIST FROM HYUNSUE KIM TO SARAH SHEA, EFFECTIVE IMMEDIATELY.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",495,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE FOR ENTERPRISE PERFORMANCE TESTING FROM MARCH 9, 2020 TO JULY 10, 2020.",143,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO ACQUIRE BOUNDARY ANALYSIS SERVICES.,73,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO: 1. TERMINATE YVETTE BRYANT AS THE COR (SEE ATTACHED) 2. EXTEND THE PERIOD OF PERFORMANCE FROM JUNE 28, 2020 THRU JULY 28, 2020. THE TOTAL CONTRACT VALUE IS HEREBY INCREASED BY $3,749,644.81   FROM $116,501,943.63 TO $120,251,608.44.  ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",321,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM ANDREW JERNELL TO CAROLYN DICKENS IN ADDITION TO ADDING YVETTE BRYANT AS AN ALTERNATE COR  (SEE ATTACHED).  ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,241,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO. 1. UPDATE THE CONTRACT TO REFLECT THE NEW  DLT QUOTE: 4795168 AS SHOWN BELOW. 2. THE NEW PERIOD OF PERFORMANCE IS FROM 3/31/2020 THROUGH 3/30/2021  3. ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,239,,,,
Education,"THE PURPOSE OF THIS PROCUREMENT IS TO OBTAIN LOGISTICAL AND ADMINISTRATIVE SUPPORT FOR PEER REVIEWS OF OSEP PROGRAMS, AS REQUIRED UNDER THE INDIVIDUALS WITH DISABILITIES EDUCATION ACT.",184,,,,
Education,THE PURPOSE OF MODIFICATION IS TO UPDATE THE DELIVERABLES' DUE DATES.,69,,,,
Education,PORTFOLIO OF INTEGRATED VALUE ORIENTED TECHNOLOGIES - HOSTING (PIVOT-H) - THE PIVOT-H CONTRACTOR IS RESPONSIBLE FOR PROVIDING A HOSTING ENVIRONMENT FOR DEPARTMENT DATA AND SYSTEMS.,180,,,,
Education,PORTFOLIO OF INTEGRATED VALUE-ORIENTED TECHNOLOGIES - INTEGRATION (PIVOT-I) - THE PIVOT-I CONTRACTOR IS RESPONSIBLE FOR THE TECHNICAL MANAGEMENT AND INTEGRATION OF PIVOT IT INFRASTRUCTURE SERVICES,196,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE FUNDS AND CLOSEOUT CONTRACT.,79,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE FUNDS AND CLOSEOUT CONTRACT.,79,,,,
Education,"IMPLEMENT CHANGE REQUEST CR 5431 BORROWER DEFENSE (BD) NOTIFICATION AND BOUNCE BACK.  BORROWER DEFENSE PLANS TO SEND APPROXIMATELY 5,000 BD NOTIFICATIONS EVERY TWO WEEKS TO REDUCE THE CURRENT BACKLOG.",200,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO IMPLEMENT THE CHANGE REQUEST 5393 BUILDING NSLDS WITHIN THE FSA NEXT GEN CLOUD BOUNDARY,126,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO IMPLEMENT CR SOLUTION FOR FSA TO MONITOR CALLS IN DCC. FSA REQUIRES THE USE OF ENGAGE TO PERFORM FSA QUALITY MONITORING ACTIVITIES ON CONTACT CENTERS THAT ARE ONBOARDED TO THE DCC PLATFORM. THE CONTRACTOR SHALL ENABLE AN INSTANCE OF NICE ENGAGE ON A VIRTUAL MACHINE IN THE DCC AWS INFRASTRUCTURE TO ALLOW TO FSA USERS TO ACCESS ENGAGE FOR QUALITY MONITORING PROCESSES. FSA USERS WILL ACCESS THE AWS VIRTUAL DESKTOP THROUGH THE EDNET VPN.,476,,,,
Education,"THE U.S. DEPARTMENT OF EDUCATION REQUIRES ONGOING SUPPORT FOR DOCUMENT, COMMUNICATIONS MATERIALS, AND GRAPHIC DESIGN.   THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COGNIZANT CONTRACTING OFFICER FROM PENNIE SUMMERS TO WILLIAM JACKSON.   ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.",290,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE CONTRACT PERIOD OF PERFORMANCE FOR THREE (3) MONTHS AT NO ADDITIONAL COSTS TO THE GOVERNMENT. 1. THE PERIOD OF PERFORMANCE IS FROM 05/14/2020 TO 08/13/2020.,206,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO ACQUIRE THE SUPPLEMENTAL TIMEKEEPING AND PAYROLL ANALYST SUPPORT SERVICES NEEDED TO OVERCOME EXISTING STAFFING SHORTAGES AND EXPERTISE GAPS,177,,,,
Education,VIRTUAL WORLD CONGRESS 2020,27,,,,
Education,"THIS CONTRACT TO PROVIDES SUBJECT MATTER EXPERTISE FOR THE PRODUCTION OF POLICY-RELATED MATERIALS IN ADDITION TO LOGISTICAL SUPPORT FOR A VARIETY OF MEETINGS INCLUDING LOCAL MEETINGS, WORKGROUP MEETINGS AND ANNUAL STATE DIRECTOR MEETINGS.",238,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE CONTRACTOR ED UNLIQUIDATED FUNDS.,84,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE CONTRACTOR ED UNLIQUIDATED FUNDS.,84,,,,
Education,"THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR TWO (CY2).  THE PURPOSE OF THIS MODIFICATION IS DO THE FOLLOWING: DEOBLIGATE UNEXPENDED FUNDS IN THE AMOUNT OF 132,256.11 FROM CONTRACT ED-FSA-15-D-0001, TASK ORDER 0001 IN PREPARATION FOR CLOSEOUT. THE TOTAL AMOUNT OF THE ORDER IS DECREASED BY $132,256.11 FROM $33,118,543.58 TO $32,986,287.47.",453,,,,
Education,ENTELLITRAK LR SAAS LICENSE SOFTWARE ANNUAL SUPPORT&UPGRADE 08/25/2019-08/24/2020,81,,,,
Education,"THIS ORDER WILL REQUIRE THE CONTRACTOR TO ESTABLISH, CONVENE, COORDINATE, AND SUPPORT AN INDEPENDENT ADVISORY PANEL CONSISTENT WITH THE REQUIREMENTS OF SECTION 114 OF THE CARL D. PERKINS CAREER AND TECHNICAL EDUCATION ACT OF 2006.",230,,,,
Education,THE PURPOSE OF THIS REQUIREMENT IS TO COLLECT AND ANALYZE TITLE II DATA FROM STATES AND JURISDICTIONS AND TO ENSURE ACCOUNTABILITY IN TITLE II REPORTING.,153,,,,
Education,IBM COGNOS SOFTWARE RENEWAL,27,,,,
Education,"THE PURPOSE OF THIS TASK ORDER IS TO PRODUCE ROUTINE DATA REPORTS AND ANALYSES FOR DEPARTMENT OF EDUCATION, TO MANAGE RESPONSES TO CONGRESSIONAL INQUIRIES, AND PREPARE REPORTS THAT SUPPORT THE OFFICE OF POSTSECONDARY EDUCATION.",227,,,,
Education,EXERCISE OPTION YR 1 SHAREPOINT TRAINING,40,,,,
Education,"THE INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT TO PROVIDE OPERATION AND MAINTENANCE OF THE APPLICATION AND ELIGIBILITY SYSTEMS (AEDS) FOR CONTRACT YEAR THREE (CY3).  THE PURPOSE OF THIS MODIFICATION IS TO DEOBLIGATE UNLIQUIDATED FUNDS FROM LINE ITEMS,  LI 3078, CR 4815 INTEGRATED APPROACH FOR SINGLE SIGN-ON FOR FSA ID (PAS), LI 3086, PRINTING, LI 3087,POSTAGE AND LI 3087 - EMAIL.",388,,,,
Education,TUITION COSTS FOR STEVEN BYRD'S PARTICIPATION IN THE EXCELLENCE IN GOVERNMENT PROGRAM.,86,,,,
Education,"TOAD FOR ORACLE MAINTENANCE RENEWAL FOR PERIOD JUNE 30, 2020 THROUGH JUNE 30 2021.",82,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,RENEWAL OF ONLINE COMPUTER LIBRARY CENTER SERVICES (OCLC) BIBLIOGRAPHIC UTILITIES PRODUCTS AND SERVICES FOR THE DEPARTMENT OF EDUCATIONS NATIONAL LIBRARY OF EDUCATION.,167,,,,
Education,"REGIONAL EDUCATIONAL LABORATORY MIDATLANTIC. THE PURPOSE OF THIS CONTRACT IS TO PROVIDE RESEARCH, TECHNICAL ASSISTANCE, AND INFORMATION DISSEMINATION TO STAKEHOLDERS IN THE MIDATLANTIC REGION.",192,,,,
Education,"REGIONAL EDUCATIONAL LABORATORY APPALACHIA. THE PURPOSE OF THIS CONTRACT IS TO PROVIDE RESEARCH, TECHNICAL ASSISTANCE, AND INFORMATION DISSEMINATION TO STAKEHOLDERS IN THE REGION.",179,,,,
Education,STUDY OF AN INFORMATION STRATEGY TO INCREASE ENROLLMENT IN POST SECONDARY EDUCATION.,84,,,,
Education,CONTRACTOR PROVIDES HELPDESK AND TRAINING SUPPORT SERVICES FOR THE DEPARTMENT OF EDUCATION CENTRAL AUTOMATED PROCESSING SYSTEM (EDCAPS) SYSTEMS.,144,,,,
Education,THIS IS A CHANGE TO THE CONTRACT,32,,,,
Education,"THIS CONTRACT WILL SUPPORT INCREASING THE CAPACITY OF STATES, LOCAL EDUCATIONAL AGENCIES, SCHOOLS, AND LOCAL COMMUNITIES TO USE EVIDENCE-BASED PRACTICES TO COMBAT CHRONIC ABSENTEEISM USING COMPREHENSIVE, MULTI-SECTOR STRATEGIES.",228,,,,
Education,THE PURPOSE OF THIS CONTRACT IS TO PROVIDE TECHNICAL ASSISTANCE SUPPORT TO THE COMPREHENSIVE LITERACY STATE DEVELOPMENT (CLSD) PROGRAM GRANTEES.,144,,,,
Education,"THIS MODIFICATION INCREASES THE NOT-TO-EXCEED CEILING AMOUNTS FOR THE BASE AND OPTION YEARS, AND ADDS ADDITIONAL FUNDING TO CONTINUE TO SUPPORT THE NEXTGEN PROGRAM OFFICE'S NEXTGEN PROJECTS.",190,,,,
Education,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PRIMARY CONTRACTING OFFICER'S REPRESENTATIVE (COR) AND ALTERNATE CONTRACTING OFFICER'S REPRESENTATIVE UNDER CONTRACT ED-FSA-09-D-0015 AND ALL SUBSEQUENT TASK ORDERS:,215,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,CHANGING CONTRACTING OFFICER FROM KEONNA SMITH-GORDON TO WILLIAM JACKSON AND UPDATING THE AUTHORITY ON MOD #9 TO 52.217-9  OPTION TO EXTEND THE TERM OF THE CONTRACT.,165,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATED FUNDING. THESE DE-OBLIGATED FUNDS IN THE AMOUNT OF $47,880.84 WILL BE TRANSFERRED AND OBLIGATED ON THE FOLLOW-ON NSLDS CONTRACT #91003120C0002 FOR CONTRACTOR WORK ASSOCIATED WITH CR #5173.",240,,,,
Education,FREEDOM OF INFORMATION ACT (FOIA) TECHNICAL SUPPORT FOR THE OFFICE OF GENERAL COUNCIL (OGC) IN THE U.S. DEPARTMENT OF EDUCATION.,128,,,,
Education,"THIS CONTRACT WILL SUPPORT INCREASING THE CAPACITY OF STATES, LOCAL EDUCATIONAL AGENCIES, SCHOOLS, AND LOCAL COMMUNITIES TO USE EVIDENCE-BASED PRACTICES TO COMBAT CHRONIC ABSENTEEISM USING COMPREHENSIVE, MULTI-SECTOR STRATEGIES.",228,,,,
Education,SENIOR PROGRAMMER - TO RECEIVE SUPPORT SERVICES FOR OIG TO UPDATE AND PROGRAM OIG'S ITACCI NETWORK. (OY2 OF 4),110,,,,
Education,TASK ORDER TO SUPPORT THE DEPARTMENT OF EDUCATION'S BUDGET FORMULATION DATABASE.,80,,,,
Education,"THE PURPOSE OF THIS MODIFICATION TO CONTRACT NUMBER ED-FSA-09-D-0015 IS TO REVISE THE PRICING STRUCTURE IN SECTION A OF THE IDIQ CONTRACT, PREVIOUSLY REVISED PER MODIFICATION P00126, TO INCLUDE PRICING FOR CR 5505.",214,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO REMOVE CLIN A035 FOR POSTAGE MAILING COST, RENUMBER A036 AND A037 IN THE PROPER CLIN SEQUENCE AND TO REFLECT POSTAL MAILING COSTS (CR-5505) ON CLIN A031 FOR $0.48 ACCORDING TO THE FIRM FIXED PRICE OF THE IDIQ.",248,,,,
Education,"THE PURPOSE OF THIS MODIFICATION TO CONTRACT NUMBER ED-FSA-09-D-0012 AND MODIFY THE PRICING STRUCTURE IN SECTION C OF THE IDIQ CONTRACT, PREVIOUSLY REVISED PER MODIFICATION P00114, TO INCLUDE PRICING FOR CHANGE REQUEST 5505",223,,,,
Education,THE PURPOSE OF THIS ORDER IS TO PROVIDE SUPPORT FOR THE DIVISION OF ACADEMIC AND TECHNICAL EDUCATION PROGRAM BY MAINTAINING AND OPERATING EXISTING DATABASES AND WEBSITES FOR PERKINS.,182,,,,
Education,DISTANCE LEARNING DATASET TRAINING (DLDT),41,,,,
Education,"THIS REQUIREMENT IS FOR ENHANCEMENTS TO THE DEPARTMENT OF EDUCATION'S ""EDUCATION DEPARTMENT CENTRALIZED AUTOMATED PROCESSING SYSTEMS.""",134,,,,
Education,THE PURPOSE OF THIS TASK ORDER IS TO PLAN A COMPETITION FOR THE CAREER AND TECHNICAL EDUCATION (CTE) CUBESAT CHALLENGE THAT WILL ENHANCE THE QUALITY OF CTE BY DEMONSTRATING INNOVATIVE APPROACHES.,195,,,,
Education,"DEVELOPMENT OF AN ENTERPRISE OPEN DATA PLATFORM AND PROVIDING TECHNICAL ASSISTANCE TO OFFICES IN USING IT TO MAKE THEIR PUBLIC DATASETS EASIER TO ACCESS, FIND, AND MANAGE.",171,,,,
Education,THIS REQUIREMENT IS FOR AUTOMATED SECURITY TRACKING SYSTEM INTEGRATION SOFTWARE FOR THE U.S. DEPARTMENT OF EDUCATION.,117,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE CHANGE REQUEST 5088 (NEXT GEN DIGITAL CUSTOMER CARE SOLUTION) AND PROVIDE FUNDING IN THE AMOUNT OF $35,182.50 INTO CONTRACT NUMBER ED-FSA-09-D-0014, TASK ORDER 91003120F0313 MOD P00028.",236,,,,
Education,"THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE CHANGE REQUEST 5255 (HISTORICAL BORROWER PAYMENT DATA) AND PROVIDE FUNDING IN THE AMOUNT OF $19,250.00 INTO CONTRACT NUMBER ED-FSA-09-D-0013, TASK ORDER 91003120F0312 VIA MOD P00018.",233,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"SUBJECT MATTER EXPERTS FOR PEER REVIEWS-THE PURPOSE OF THIS PROCUREMENT ACTION IS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",229,,,,
Education,"MODIFY TO REVIEWER-THE PURPOSE OF THIS PROCUREMENT ACTION WAS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",209,,,,
Education,"MODIFY TO ALTERNATE REVIEWER-THE PURPOSE OF THIS PROCUREMENT ACTION WAS TO OBTAIN SUBJECT MATTER EXPERTISE TO SUPPORT THE REVIEW OF APPLICATIONS FOR GRANTS THAT ARE ADMINISTERED BY THE U.S. DEPARTMENT OF EDUCATION, RSA.",219,,,,
Education,"REGIONAL EDUCATIONAL LABORATORY - NORTHEAST AND ISLANDS. THE PURPOSE OF THIS CONTRACT IS TO PROVIDE RESEARCH, TECHNICAL ASSISTANCE, AND INFORMATION DISSEMINATION TO STAKEHOLDERS IN THE NORTHEAST&ISLANDS REGION.",210,,,,
Education,"REGIONAL EDUCATIONAL LABORATORY - MIDWEST. THE PURPOSE OF THIS CONTRACT IS TO PROVIDE RESEARCH, TECHNICAL ASSISTANCE, AND INFORMATION DISSEMINATION TO STAKEHOLDERS IN THE MIDWEST REGION.",186,,,,
Education,"REGIONAL EDUCATIONAL LABORATORY CENTRAL. THE PURPOSE OF THIS CONTRACT IS TO PROVIDE RESEARCH, TECHNICAL ASSISTANCE, AND INFORMATION DISSEMINATION TO STAKEHOLDERS IN THE CENTRAL REGION.",184,,,,
Education,60-DAY NO COST EXTENSION,24,,,,
