awarding_agency_name,award_description
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0296-16; E-193-2011/1-US-06; CHIORINI; PATENT LEGAL SERVICE (HU)
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF OT IGF
DEPARTMENT OF LABOR (DOL),HUMAN RESOURCES AND MANAGEMENT SUPPORT SERVICES
ENVIRONMENTAL PROTECTION AGENCY (EPA),CONVERSION OF SCRIPTS FOR THE TOTAL DEPOSITION MEASUREMENT-MODEL FUSION APPLICATION FROM ARCINFO INTO ARCPY
DEPARTMENT OF TRANSPORTATION (DOT),NEW TASK ORDER FOR AIR FOIA SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),FFRDC
DEPARTMENT OF ENERGY (DOE),IGF::OT::IGF PPPO / DUF6 ENGINEERING AND OPERATIONS TECHNICAL SUPPORT TASK ORDER. TIME-AND-MATERIALS (T&M) TASK ORDER AWARDED AGAINST THE GENERAL SERVICES ADMINISTRATION S (GSA) MISSION ORIENTED BUSINESS INTEGRATED SERVICES (MOBIS) MULTIPLE AWARD SCHEDULE.
DEPARTMENT OF DEFENSE (DOD),CORNELL-DUBILIER ELECTRONICS SUPERFUND SITE OU4 PHASE 1/2 REMEDIAL ACTION
ENVIRONMENTAL PROTECTION AGENCY (EPA),THE PURPOSE OF THIS ORDER IS TO PROCURE THE SERVICES OF ERG TO PERFORM THE DUTIES AS OUTLINED IN THE JUST IN TIME SERVICES OFFICE OF CHILDREN'S HEALTH PROTECTION SOW. THIS ORDER ALSO INCORPORATES THE APPROVED WORK PLAN AND COST ESTIMATE AS A REF
ENVIRONMENTAL PROTECTION AGENCY (EPA),TECHNICAL AND OUTREACH SUPPORT SERVICES FOR GREENHOUSE GAS PROGRAM
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CL::IGF MOTOR VEHICLE DRIVER SERVICES
DEPARTMENT OF COMMERCE (DOC),IGF::OT::IGF SIGN LANGUAGE INTERPRETATION SERVICES IGF::OT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LVM-BIO.0532-18; E-133-2017-0-PCT-02; VIZCARDO; PATENT LEGAL SERVICE; (BURKE)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF LAB OPS FOR W DEPARTMENT
DEPARTMENT OF DEFENSE (DOD),"THIS TASK ORDER PROVIDES SERVICES FOR ""PROTOTYPING, MANAGEMENT, FIELDING, TRAINING AND LOGISTICS SUPPORT FOR QRC REQUIREMENTS (FIFF)"" IN SUPPORT OF SUPPORT CONCEPT OF OPERATIONS (CONOPS) WITHIN THE FABRICATION INTEGRATION FIELDING FACILITY (FIFF), ON ABERDEEN PROVING GROUND IN ABERDEEN, MARYLAND."
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"IGF::OT::IGF  THE GOAL OF THIS FIVE YEAR NEPAL PUBLIC FINANCIAL MANAGEMENT STRENGTHENING PROJECT TO ENHANCE THE CAPACITY OF TARGETED GOVERNMENT OF NEPAL MINISTRIES AND AGENCIES TO IMPROVE TRANSPARENCY AND ACCOUNTABILITY OF PUBLIC FINANCIAL MANAGEMENT SYSTEMS. PFMSP WILL SUPPORT THE GONS CAPACITY BUILDING PRIORITIES, WHICH HAVE BEEN IDENTIFIED THROUGH EXTENSIVE CONSULTATIONS BETWEEN USAID, GON AND THE DONOR COMMUNITY ENGAGED IN PFM REFORM EFFORTS.    THE EXPECTED RESULTS OF PFMSP ARE LINKED TO THE DGO WITH COUNTRY DEVELOOPMENT COOPERATION STRATEGY RESULTS FRAMEWORK AS FOLLOWS IR 1 IMPROVED BUDGET PLANNING AND EXECUTION CAPACITY OF GON IR 2 IMPROVED CONTROL ENVIRONMENT AND PROCUREMENT CAPACITY IN TARGETED MINISTRIES AND OR AGENCIES IR 3 STRENGTHENED FINANCIAL MANAGEMENT FUNCTIONS OF NATIONAL AUTHROITY FOR RECONSTRUCTION   COMPONENTS  TO ACHIEVE THE GOAL AND RESULTS, THE CONTRACTOR MUST IMPLEMENT ACTIVITIES ALIGNED WITH THE FOLLOWING THREE PROJECT COMPONENTS  COMPONENT A  STRENGTHEN THE LINE MINISTRY BUDGETARY MANAGEMENT INFORMATION SYSTEM.   COMPONENT B  INSTITUTIONALIZE CONTROL ENVIRONMENT AND IMPROVED PROCUREMENT PRACTICES ACROSS SELECTED LINE  MINISTRIES AND AGENCIES.  COMPONENT C  SUPPORT THE GONS EFFORTS TO INCREASE FINANCIAL TRANSPARENCY AND ACCOUNTABILITY OF POST EARTHQUAKE RECONSTRUCTION AND RECOVERY ASSISTANCE."
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::CT::IGF  THE PURPOSE OF THIS TASK ORDER IS TO PROVIDE TWO (2) TECHNICAL SPECIALIST TO SUPPORT THE PUBLIC ASSISTANCE DISASTER OPERATIONS FOR FEMA-4085-NY.
DEPARTMENT OF COMMERCE (DOC),HURRICANE SALLY INCIDENT RESPONSE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF  OFS-OFS AIRCRAFT AND VESSEL WATERING POINTS SERVICING AREAS
ENVIRONMENTAL PROTECTION AGENCY (EPA),"IGF::OT::IGF - ARCHITECT-ENGINEER ENVIRONMENTAL SERVICES, CARSON RIVER FEASIBILITY STUDY"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),1.3: PLACE - 4
ENVIRONMENTAL PROTECTION AGENCY (EPA),FACILITATION FOR VIRTUAL WORKSHOPS REGARDING TRANSLATIONAL ECOSYSTEM SERVICES (ES) FOR CONTAMINATED CLEANUPS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF - EFFECTS OF MEDICAL PRODUCTS ON SUICIDAL IDEATION AND BEHAVIOR - REAL WORLD EVIDENCE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NEW PRE-PRICED TASK ORDER AWARD
DEPARTMENT OF DEFENSE (DOD),"JOINT TRAINING SYNTHETIC ENVIRONMENT RESEARCH AND DEVELOPMENT FOR JOINT STAFF J7, DEPUTY DIRECTOR JOINT TRAINING  ENVIRONMENT ARCHITECTURE DIVISION"
DEPARTMENT OF DEFENSE (DOD),"CDLS EQT RACK PROCUREMENT, FABRICATION AND INTEGRATION"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF CCL-CHM.0120-17; E-150-2016/1-PCT-01; CHEN; PATENT LEGAL SERVICE; (SHMILOVICH)
DEPARTMENT OF DEFENSE (DOD),TCBISEA DGSIT TACNET ENGINEERING SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF VETERANS AFFAIRS (VA),DEVOPS TOOL SUITE
DEPARTMENT OF EDUCATION (ED),THIS BPA CALL IS FOR BORROWER CLAIMS PROCESSING SUPPORT SERVICES (BCPSS) TO HELP REVIEW THE LARGE NUMBER OF BACKLOGGED CLAIMS SUBMITTED BY INDIVIDUALS REQUESTING STUDENT LOAN FORGIVENESS.
DEPARTMENT OF THE TREASURY (TREAS),CREDIT MODELING SUPPORT
DEPARTMENT OF EDUCATION (ED),THE DEVELOPMENT AND TECHNICAL ASSISTANCE IN LEVERAGING ANALYSIS BASED WEBSITES (DATALAB) REQUIREMENT PROVIDES WEB-BASED DATA ANALYSIS TOOLS FOR SURVEY STUDIES FIELDED BY THE NATIONAL CENTER FOR EDUCATION STATISTICS (NCES).
DEPARTMENT OF THE INTERIOR (DOI),"IGF::OT::IGF COACHING, FACILITATION, MEDIATION AND COLLABORATIVE CONFLICT MANAGEMENT SERVICES FOR BLM"
DEPARTMENT OF DEFENSE (DOD),ANTI-JAM (AJ) APPLICATION SPECIFIC INTEGRATED CIRCUIT DEVELOPMENT (ASIC)
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  HIGH-POWERED ELECTROMAGNETIC (HPEM) EFFECTS ANALYSIS
DEPARTMENT OF JUSTICE (DOJ),IGF::CT::IGF FOREIGN LANGUAGE TRAINING
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),WATSS
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF CODE 34 MECHANICAL ENGINEERING AND DRAWING SERVICES FOR COMMUNICATIONS SYSTEMS
GENERAL SERVICES ADMINISTRATION (GSA),"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT,IGF::OT::IGF"
DEPARTMENT OF HOMELAND SECURITY (DHS),TASK ORDER FOR CLOUD MIGRATION AND O&M OF IP GATEWAY
DEPARTMENT OF JUSTICE (DOJ),CALL AGAINST BPA
DEPARTMENT OF DEFENSE (DOD),FIELD ARTILLERY AUTONOMOUS RESUPPLY CANNON AMMUNITION MANAGEMENT RESEARCH PROPOSAL
DEPARTMENT OF HOMELAND SECURITY (DHS),HQ NURSE TO SUPPORT AT-HOME TESTING FOR FEMA COVID-19 TESTING - INTERIM:  MEDICAL HEALTH SERVICES (FIXED SITES) 30 DAY BASE: 6/2/2021 TO 7/1/2021 WITH ONE (1) 30-DAY OPTION PERIOD.
DEPARTMENT OF DEFENSE (DOD),"JOINT EFFECTS MODEL (JEM) SOFTWARE DEVELOPMENT TASK ORDER 8 FOR DEVELOPMENT AND INTEGRATION OF NEW CAPABILITY AS WELL AS UPGRADING, MODERNIZATION AND SUSTAINMENT OF EXISTING CAPABILITY  AS DESCRIBED IN THE PERFORMANCE WORK STATEMENT (PWS)."
DEPARTMENT OF DEFENSE (DOD),"F-35 VSM AND STORAGE AND DISTRIBUTION SPECIAL PROJECT WORK ORDER CLIN 2006 - SPECIAL PROJECTS/SURGE AND SUSTAINMENT (PWS SECTION C-5.8)(SEE ATTACHMENT J-5, SCHEDULE B CLIN X006 LABOR RATE TABLE, FOR APPLICABLE LABOR CATEGORIES)."
DEPARTMENT OF DEFENSE (DOD),"OPTICAL TECHNIQUES, DEVICES&MEASUREMENTS: CLASSIFIED ACCESS"
DEPARTMENT OF DEFENSE (DOD),EXPERIMENTATION RESEARCH TECHNOLOGY II
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES  NJ / I-21-05643/44 / C3-20-0131 / METRO #ENG
DEPARTMENT OF ENERGY (DOE),IGF::OT::IGF POWER OPERATIONS INSTRUCTIONAL ENGINEER SUPPORT SERVICES FOR WAPA'S ELECTRIC POWER TRAINING CENTER; POP 9/1/2017 TO 8/31/2018
DEPARTMENT OF DEFENSE (DOD),PACKAGING AND TEST OF LATERAL SIC INTEGRATED CIRCUITS FOR 800OC OPERATION
DEPARTMENT OF JUSTICE (DOJ),SECURITY SERVICES
DEPARTMENT OF AGRICULTURE (USDA),UKRAINE EMERGENCY OPERATION CENTER ADVISOR  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF DEFENSE (DOD),COGNITIVE DECENTRALIZED CLASSIFICATION ONBOARD (COGDECON)
DEPARTMENT OF THE INTERIOR (DOI),JOINT CERTIFICATION STATEMENT/FITARA COMPLIANCE
DEPARTMENT OF JUSTICE (DOJ),OPD - HONDURAS - GATE LEGAL (3 OF 3)
DEPARTMENT OF DEFENSE (DOD),TACTICAL NETWORKS (TACNET) TECHNICAL AND PRODUCTION SUPPORT.
DEPARTMENT OF VETERANS AFFAIRS (VA),OFFICE OF REGISTRAR ADMIN AND EDUCATION SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),TEST OPERATION TECHNOLOGY AND
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"MSC PSTSS TO 253; NIAID PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SUPPORT SERVICES FOR DIR/ORTD; POP 11/09/2020-11/08/2021"
DEPARTMENT OF HOMELAND SECURITY (DHS),"TULSA, OK (WEST ZONE) CONTRACTOR-MANAGED MEDICAL PROFESSIONALS FOR COVID-19 VACCINE ADMINISTRATION IN SUPPORT OF FEDERAL ASSISTANCE TO STATE, LOCAL, TRIBAL, AND TERRITORIAL (SLTT) PARTNERS."
NUCLEAR REGULATORY COMMISSION (NRC),MICROSOFT CONSULTING SERVICES
ENVIRONMENTAL PROTECTION AGENCY (EPA),IGF::CL::IGF CLOSELY ASSOCIATED - ENVIRONMENTAL ENGINEERING SUPPORT FOR CLEAN WATER REGULATIONS
SECURITIES AND EXCHANGE COMMISSION (SEC),IGF::OT::IGF FOR OTHER FUNCTIONS HR PROFESSIONAL SUPPORT SERVICES
ENVIRONMENTAL PROTECTION AGENCY (EPA),AWARD OPERATIONS AND MAINTENANCE SUPPORT TASK ORDER
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CL,CT::IGF OKLAHOMA STATE PROTECTIVE SECURITY OFFICER SERVICES (SSA/ODAR)"
DEPARTMENT OF JUSTICE (DOJ),IGF::OT::IGF - ADMINISTRATIVE AND PROFESSIONAL SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),DARPA RESEARCH PROJECT - PHASE 2 AND PHASE 3
DEPARTMENT OF DEFENSE (DOD),"PROVIDE SUPPORT TO QUICK REACTION RESEARCH, DEVELOPMENT, ENGINEERING, AND MANAGEMENT SERVICES REQUIRED TO SUPPORT SOLDIER-BORNE AND VEHICLE-BORNE NEXT GENERATION SENSOR TECHNOLOGIES WHICH REQUIRE A HIGH LEVEL OF EXPERTISE AND COMPLETION IN TIMELINES REDUCED FROM TRADITIONAL RESEARCH AND DEVELOPMENT (R&D) PROJECT SCHEDULES."
GENERAL SERVICES ADMINISTRATION (GSA),PLANNING DESIGN IMPLEMENTATION SUPPORT FOR GSA OPM MERGER
DEPARTMENT OF JUSTICE (DOJ),"TECHNICAL ANALYST SERVICES, POP: 3/1/2020 - 2/28/2021"
